[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0.         0.         0.         0.         0.00080736]
[0.         0.         0.         0.00080736 0.        ]
[0.         0.         0.00080736 0.         0.        ]
[0.         0.00080736 0.         0.         0.        ]
[0.00080736 0.         0.         0.         0.        ]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0.         0.         0.         0.         0.88034382]
[0.         0.         0.         0.88034382 0.95198196]
[0.         0.         0.88034382 0.95198196 0.95952386]
[0.         0.88034382 0.95198196 0.95952386 0.95931184]
[0.88034382 0.95198196 0.95952386 0.95931184 0.95881496]
[0.95198196 0.95952386 0.95931184 0.95881496 0.96075458]
[0.95952386 0.95931184 0.95881496 0.96075458 0.97048225]
[0.95931184 0.95881496 0.96075458 0.97048225 0.97188035]
[0.95881496 0.96075458 0.97048225 0.97188035 0.97521874]
[0.96075458 0.97048225 0.97188035 0.97521874 0.97593683]
[0.97048225 0.97188035 0.97521874 0.97593683 0.97437134]
[0.97188035 0.97521874 0.97593683 0.97437134 0.97021641]
[0.97521874 0.97593683 0.97437134 0.97021641 0.96744974]
[0.97593683 0.97437134 0.97021641 0.96744974 0.97767954]
[0.97437134 0.97021641 0.96744974 0.97767954 0.96163086]
[0.97021641 0.96744974 0.97767954 0.96163086 0.96032268]
[0.96744974 0.97767954 0.96163086 0.96032268 0.96340311]
[0.97767954 0.96163086 0.96032268 0.96340311 0.96886753]
[0.96163086 0.96032268 0.96340311 0.96886753 0.96250714]
[0.96032268 0.96340311 0.96886753 0.96250714 0.96761712]
[0.96340311 0.96886753 0.96250714 0.96761712 0.96794203]
[0.96886753 0.96250714 0.96761712 0.96794203 0.967518  ]
[0.96250714 0.96761712 0.96794203 0.967518   0.96726267]
[0.96761712 0.96794203 0.967518   0.96726267 0.96397416]
[0.96794203 0.967518   0.96726267 0.96397416 0.58745052]
[0.967518   0.96726267 0.96397416 0.58745052 0.33718961]
[0.96726267 0.96397416 0.58745052 0.33718961 0.220583  ]
[0.96397416 0.58745052 0.33718961 0.220583   0.14771676]
[0.58745052 0.33718961 0.220583   0.14771676 0.06780812]
[0.33718961 0.220583   0.14771676 0.06780812 0.        ]
[0.220583   0.14771676 0.06780812 0.         0.        ]
[0.14771676 0.06780812 0.         0.         0.        ]
[0.06780812 0.         0.         0.         0.        ]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
